,reference_date,table,total_size
284073,2021-10-25,TAB000000,804919
284074,2021-10-26,TAB000000,817420
284075,2021-10-27,TAB000000,833759
284076,2021-10-28,TAB000000,864210
284077,2021-10-29,TAB000000,879684
284079,2021-10-30,TAB000000,811156
284080,2021-10-31,TAB000000,878328
284087,2021-11-01,TAB000000,886911
284098,2021-11-02,TAB000000,893689
284109,2021-11-03,TAB000000,873003
284111,2021-11-04,TAB000000,908670
284112,2021-11-05,TAB000000,945419
284113,2021-11-06,TAB000000,973016
284114,2021-11-07,TAB000000,1003568
284115,2021-11-08,TAB000000,1016990
284116,2021-11-09,TAB000000,1023742
284088,2021-11-10,TAB000000,1025166
284089,2021-11-11,TAB000000,1029447
284090,2021-11-12,TAB000000,1031877
284091,2021-11-13,TAB000000,1036877
284092,2021-11-14,TAB000000,1043210
284093,2021-11-15,TAB000000,1043432
284094,2021-11-16,TAB000000,1046658
284095,2021-11-17,TAB000000,1066700
284096,2021-11-18,TAB000000,1094528
284097,2021-11-19,TAB000000,1113929
284099,2021-11-20,TAB000000,1126800
284100,2021-11-21,TAB000000,1129405
284101,2021-11-22,TAB000000,1128390
284102,2021-11-23,TAB000000,1134412
284103,2021-11-24,TAB000000,1139694
284104,2021-11-25,TAB000000,1153608
284105,2021-11-26,TAB000000,1174716
284106,2021-11-27,TAB000000,1188713
284107,2021-11-28,TAB000000,1190373
284108,2021-11-29,TAB000000,1189369
284110,2021-11-30,TAB000000,1118425
284117,2021-12-01,TAB000000,1241893
284128,2021-12-02,TAB000000,1169635
284139,2021-12-03,TAB000000,1263899
284142,2021-12-04,TAB000000,1284754
284143,2021-12-05,TAB000000,1287999
284144,2021-12-06,TAB000000,1289098
284145,2021-12-07,TAB000000,1288336
284146,2021-12-08,TAB000000,1311971
284147,2021-12-09,TAB000000,1290243
284118,2021-12-10,TAB000000,1332761
284119,2021-12-11,TAB000000,1343379
